,sentence,aspects_seed,pol
595,statewide blackouts last week drove home the precariousness of california 's energy situation to ratepayers  and may have served as a blessing in disguise for the governor .,california,-1
596,"however , alice does not recommend that we attempt to recover our costs .",costs,-1
597,the tax review sets out the practical implication increased cost to purchasers  and constitutional deficiencies of ab 128x .,cost,-1
598,program awards are subject to and effective upon the approval by the compensation and management development committee of the enron corp. .,development,0
599,i am aware of enron 's executive training/business analyst programs and am highly interested in exploring opportunities therein .,enron,1
600,"in fact we do no have several bills on demand side management , one by wright on accelerating repowering of power plants and allowing incentives for voluntary conservation , at least a vehicle for utility cost recovery ab-18x, and a bown bill to restore direct access rights compromised by ab-1x .",cost,0
601,"ny iso , new england iso , ny psc , ny tos and new england tos , along with other entities - primarily those who are afraid to cross new york psc  all support equal representation on the new board .",support,0
602,the first  brownbag '' will take place september 8 between 12:00 pm and 1:00 pm in room 30 c1 .,place,0
603,"the transaction provides an opportunity for the two main unions , the power workers ' union and the society of energy professionals on the bruce site , to subscribe to 5 % of the equity .",opportunity,1
604,"is it correct that enron is now threatening to sue the indian government , mseb and gos for a total of us$ 4 bn to us$ 5 billion ?",enron,-1
605,whether mills would be willing to divert capacity to the commodity grades being bought and sold by enron remains uncertain .,capacity,0
606,whether mills would be willing to divert capacity to the commodity grades being bought and sold by enron remains uncertain .,enron,0
607,"this quarter 's edition is our first double-issue , and offers  strategy  business ' subscribers a powerful reality-check on the single most important topic on the ceo agenda today - e-commerce .",business,0
608,pst we recommended this to ken and i believe he is very willing .,ken,1
609,financial: this group will continue to be managed by john arnold with no significant changes .,changes,1
610,"at this time , mr. skilling does not wish to schedule an appointment , but he does thank you for the opportunity to review the services you offer .",services,1
611,"at this time , mr. skilling does not wish to schedule an appointment , but he does thank you for the opportunity to review the services you offer .",opportunity,1
612,i did ask him to raise the issue of petrobras through secretary daly with the brazilians officials as an impediment to the open markets .,markets,-1
613,i did ask him to raise the issue of petrobras through secretary daly with the brazilians officials as an impediment to the open markets .,issue,-1
614,"i apologize for the short notice for this opportunity , but the department of state only last week confirmed  secretary albright 's schedule .",opportunity,1
615,what specific details is sdge referring to in its complaint on  unworkably competitive '' ca iso markets ?,markets,0
616,"do you know who i might contact at enron if any of the people who were recently laid off , had this skill set ?",enron,0
617,"i am available , in the meantime , to respond to any information you need , including clarifying any of my experience at or prior to enron .",enron,0
618,thank you for your time and the opportunity to express myself .,opportunity,1
619,"sports authority members say that if mcnair 's experience teaches houston anything , it will take a far greater investment than the proposed arena 's costs to return the nba should the rockets leave .",costs,0
620,"we are confident that by working with the staff and the unions , bruce power can achieve world class safety and commercial performance . ''.",staff,1
621,"now , enron is heading towards  a pure trading house .",enron,1
622,"ultimately , i believe that arc is looking for certain strategic investors to provide founding capital to fund the development of this proposal .",development,0
623," more importantly , it creates worldwide opportunities for the distribution , sales and service of our fuel cell power systems and membrane-based humidity control products . ''.",service,0
624,"second , it was a condition when we closed and mcconville/lambert , et al researched it through enron risk management , don marshall , and stated that it was in place automatically for any majority owned merchant investment .",place,0
625,judge 's final se rto mediation report  cn summary the alj submits her report to ferc to obtain ferc review of the southeast power grid platform that resulted from the mediation .,report,0
626,"even though this work is not in our $ 35 mm us original dash budget , we are planning to proceed with this unless you 've got a problem with it .",problem,-1
627,"even though this work is not in our $ 35 mm us original dash budget , we are planning to proceed with this unless you 've got a problem with it .",work,-1
628,"corporate taxes are not rising along with profits because companies have found all sorts of ways to get around the reforms in the 1986 tax act , '' said robert s. mcintyre , the director of citizens for tax justice . ''.",companies,-1
629,pst i have a question related to your former responsibilities : as you know terry thorn had significant involvement in the igu- i believe he is still chairman .,chairman,0
630,"wed. , nov. 14 - 8k filing-dynegy and enron separately filing with merger agreement, perhaps with summary?",enron,0
631,we will also be utilizing this conference as an additional mentoring activity for our minority/women business enterprise suppliers .,business,0
632,"however , we know , as employees , the importance of getting back to the work , enron is paying us to do .",work,1
633,"however , we know , as employees , the importance of getting back to the work , enron is paying us to do .",enron,1
634,"that means any shortfall could grow  without a mechanism for customers to pay it down  until the end of the rate-cap period , which could last until december 2002 or december 2003 .",customers,0
635,"executive employment agreement process for commercial staff effective immediately , the process for identifying and negotiating executive employment agreements for commercial staff at ena will be modified as follows : for all commercial staff , the sponsoring business unit lead or managing director , should agree in principle the need for a contract with john lavorato of the ena otc .",agreement,1
636,"executive employment agreement process for commercial staff effective immediately , the process for identifying and negotiating executive employment agreements for commercial staff at ena will be modified as follows : for all commercial staff , the sponsoring business unit lead or managing director , should agree in principle the need for a contract with john lavorato of the ena otc .",business,0
637,"executive employment agreement process for commercial staff effective immediately , the process for identifying and negotiating executive employment agreements for commercial staff at ena will be modified as follows : for all commercial staff , the sponsoring business unit lead or managing director , should agree in principle the need for a contract with john lavorato of the ena otc .",staff,0
638,"if ena through this venture can make this technology work , it could be a very powerful tool in our network used to capture opportunity and manage risk  d - low risk - it is expected that roughly 50 % of the initial seed capital would be recoverable through asset sales if for some reason the technology did not work or the market did not materialize  e - low tech - this solution utilizes existing turbine/scr technology  and f - ena would have a controlling position in this new venture .",position,1
639,"if ena through this venture can make this technology work , it could be a very powerful tool in our network used to capture opportunity and manage risk  d - low risk - it is expected that roughly 50 % of the initial seed capital would be recoverable through asset sales if for some reason the technology did not work or the market did not materialize  e - low tech - this solution utilizes existing turbine/scr technology  and f - ena would have a controlling position in this new venture .",opportunity,1
640,"if ena through this venture can make this technology work , it could be a very powerful tool in our network used to capture opportunity and manage risk  d - low risk - it is expected that roughly 50 % of the initial seed capital would be recoverable through asset sales if for some reason the technology did not work or the market did not materialize  e - low tech - this solution utilizes existing turbine/scr technology  and f - ena would have a controlling position in this new venture .",market,1
641,"as we come closer to the election , we are focusing primarily on recruiting new members to join the nsc and keeping members abreast and plugged into campaign events and policy matters , especially those that relate to new economy and technology issues . ",policy matters,1
642,"indeed , statistics show that much of the rest of the west would have been on the verge of trouble even without california 's help and may yet face the sort of rolling blackouts that have wreaked so much havoc in the golden state .",california,-1
643,"i would have the full time dedicated team be - jose bestard, he currently is chief of regulatory for south america, he negotiated the original ppa and has indepth knowledge of how the regulatory system does and does not work .",system,0
644,"i would have the full time dedicated team be - jose bestard, he currently is chief of regulatory for south america, he negotiated the original ppa and has indepth knowledge of how the regulatory system does and does not work .",team,1
645,"jordan ps - morris and i were in calgary last week to discuss our tax position and mitigation strategies , slugger acquisition - i am not confident that we will see any benefits this year if we complete this deal .",deal,-1
646,davis says he expects to have an agreement within two  weeks . ,agreement,0
647,"the state is also buying power for a third investor-owned  utility , san diego gas  electric , which is in better financial shape than  much larger edison and pge but also struggling with high wholesale power costs .",costs,-1
648,"the state is also buying power for a third investor-owned  utility , san diego gas  electric , which is in better financial shape than  much larger edison and pge but also struggling with high wholesale power costs .",power,0
649,"lisa , he could be of help with some of your issues as well . ",issues,0
650,california does use a vast amount of electricity .,electricity,-1
651,california does use a vast amount of electricity .,california,-1
652,are there specific things that ken needs to be briefed on ?,ken,0
653,"meeting details date : today , november 15th time : 3:30 p.m. location : eb50m1 dining conference call details : domestic : 888.422.7132 international : 334.264.8326 participant code : 784086 we realize that this process is taking time and we appreciate your continued patience and cooperation .",process,-1
654,we need immediate clarification on this issue .,issue,-1
655,that decision enable us to hedge our firm transport decision on fort union and enabled us to receive $ 54 million for the sale of the business i made the call and initiated the joint bid between northern border and ena to acquire a combined 49 % interest in bighorn gas gathering .,business,1
656," i remember $ 5,000 and $ 10,000 contributions in soft money , '' said harry freeman , a former executive vice president of american express co. , a position he held until 1990 .",money,0
657," i remember $ 5,000 and $ 10,000 contributions in soft money , '' said harry freeman , a former executive vice president of american express co. , a position he held until 1990 .",position,0
658,"in any event , i will provide you with the proposed abbreviated process by you for your review and concurrence before if it is implemented since the preponderance of these transactions are expected to be originated by ena .",process,0
659,"in any event , i will provide you with the proposed abbreviated process by you for your review and concurrence before if it is implemented since the preponderance of these transactions are expected to be originated by ena .",review,0
660,"also , did we cover the shortcomings of the japanese market sufficiently ?",market,-1
661,"liz will try to determine how calpine might provide assurances  acceptable to ena  that miller is  on the receiving end only , '' as she asserts , such that we would be confident that he is indeed not in a position to use any tra",position,-1
662,please let me know if you have any interest in our services . ?,services,0
663,please let me know if you have any interest in our services . ?,interest,0
664, adding audio capabilities to their email campaigns will enable our customers to achieve even greater profitability from their email marketing programs . ''.,customers,1
665,"pln reached an interim agreement with paiton energy under which paiton will supply energy for 10 months , at a rate said to be much lower than the original agreed-upon price .",price,1
666,"pln reached an interim agreement with paiton energy under which paiton will supply energy for 10 months , at a rate said to be much lower than the original agreed-upon price .",agreement,-1
667,"from an economic point of view , it is clearly not in our interest to aggregate residential or small customers who have retail choice  however , standard office service  like the ui deal  is clearly a customized , wholesale/all - requirements sale of significant size negotiated with the utility and the puc .",customers,-1
668,"from an economic point of view , it is clearly not in our interest to aggregate residential or small customers who have retail choice  however , standard office service  like the ui deal  is clearly a customized , wholesale/all - requirements sale of significant size negotiated with the utility and the puc .",interest,-1
669,i share your interest in the ft-4 project hopefully we can take that to the next level .,interest,0
670,how do you think you can set up a new competitive market ?,market,1
671,delainey request could you shed some light on this for me ?,delainey,0
672,o lead all engineering efforts for development projects in : - brazil - bolivia - venezuela - russia - argentina - puerto rico o developed familiarity with country laws and regulations concerning power generation assets .,generation,0
673,the stocks rose on hopes that the withdrawal from the market of a smaller competitor will ease excess capacity .,capacity,-1
674,the stocks rose on hopes that the withdrawal from the market of a smaller competitor will ease excess capacity .,market,-1
675,"if our gross receipts tax exemption is threatened next legislative session , we would have to return to these same legislators - if they are reelected - for support .",support,1
676,"subject: outage commericial review meeting nng , tw ,  nbpl  jerry, was there anything for tw that came out of this meeting that we need to be aware of ?",review,0
677,feel free to make any changes .,changes,0
678,"this practice can not be in the best interest of the desks , the program , or for that matter enron .",interest,-1
679,who in ees tracks and monitors issues like these as we enter markets ?,issues,-1
680,i should have the language for the it agreement finalized late today or monday morning .,agreement,0
681,he made a request that we configure our flow control valve with a pressure control over-ride and reduce the supply pressure to the citizens station supplying the griffith power plant .,power,0
682,"mike , sandi wanted me to forward a draft letter from steve kean to the governor and legislature for your review and comment .",review,0
683,h generation investments there will be no changes to this group managed by dave duran .,changes,1
684,pst bob eury is asking ken to lend his name and encourage employee support for light rail .,ken,1
685,"as you know , enron 's security situation in india remains stable .",enron,1
686,"the study reveals that 75 percent of corporate heads feel pressure to give  half said they fear repercussions if they turn down requests for money  and , consequently , 60 percent support a ban on soft money .",money,-1
687," the president 's position on co2 notwithstanding , enron continue to be a private sector leader in offering real solutions towards reducing greenhouse gas emissions in a rapidly expanding energy market .",president,-1
688," the president 's position on co2 notwithstanding , enron continue to be a private sector leader in offering real solutions towards reducing greenhouse gas emissions in a rapidly expanding energy market .",enron,1
689,"more importantly , nella always appreciated that , because of the nature of our business , our core assets are our contractual rights , and with much personal commitment , and often at much personal expense , nella always endeavored to ensure that things not only got done , but that they got done properly and punctually .",business,1
690,enron is committed to continue the successful implementation of its  businesses in south america .,enron,1
691,the $ 2 billion private investment firm owns a number of companies and has also invested heavily in south of market real estate in san francisco .,companies,1
692,"though the protocols sections : 1-22 seem to recognize as to other capacity-oriented ancillary service products that it is  generating capacity available but not energy delivered to the grid ' , i have not seen this made clear as to oomc .",energy,-1
693,"though the protocols sections : 1-22 seem to recognize as to other capacity-oriented ancillary service products that it is  generating capacity available but not energy delivered to the grid ' , i have not seen this made clear as to oomc .",capacity,1
694,"joining dave , in the office of the chairman , will be marty sunde , as president , global marketing services and dan leff , as president , global energy services . ",services,0
695,"joining dave , in the office of the chairman , will be marty sunde , as president , global marketing services and dan leff , as president , global energy services . ",president,0
696,"joining dave , in the office of the chairman , will be marty sunde , as president , global marketing services and dan leff , as president , global energy services . ",energy,0
697,"joining dave , in the office of the chairman , will be marty sunde , as president , global marketing services and dan leff , as president , global energy services . ",chairman,0
698,"capitol connection allows access to all other ferc meetings , such as the california wholesale conference .",access,1
699,"houston aeros owner chuck watson , who funded a large chunk of last year 's anti-arena effort , has endorsed the new deal .",deal,1
700,"they want to end an old relationship  that between center and hinterland , colonizer and colonized  and establish a new one that could curtail california 's long regional dominance .",california,-1
701,"what i couldn't read into rodney 's write up were other undocumented factors that you might change the probability , like : is there an sr. executive champion that is willing to  influence '' the ge negotiating team into getting a deal done , even if the terms are less desirable than what rodney laid out as their requirements ?",deal,1
702,she has gotten up to speed very quickly on our issues and i think would serve the progam well and she 's already paid for !! .,issues,1
703,g  corporate development- tim detmering will assume the corporate development responsibilities for ena as jeff transitions to his new role and  will report to the ea ooc .,development,1
704,glenn smith stopped by last week and he highlighted these issues as well .,issues,-1
705,three broad principles will continue to guide the direction of the program . ?,program,1
706,mike milken and i hope to be able to count on your organization for support .,support,1
707,"we would like ken to phone charlie reed , chancellor of csu , and solicit charlie 's support for enron , csu , and the uc system to get back together to attempt to work out a commercial resolution to these issues .",ken,1
708,"we would like ken to phone charlie reed , chancellor of csu , and solicit charlie 's support for enron , csu , and the uc system to get back together to attempt to work out a commercial resolution to these issues .",support,1
709,"we would like ken to phone charlie reed , chancellor of csu , and solicit charlie 's support for enron , csu , and the uc system to get back together to attempt to work out a commercial resolution to these issues .",issues,-1
710,"we would like ken to phone charlie reed , chancellor of csu , and solicit charlie 's support for enron , csu , and the uc system to get back together to attempt to work out a commercial resolution to these issues .",enron,1
711,why are we allowing socal to set the capacity lower than tw 's primary firm ?,capacity,-1
712,"in april ' 00 , it added day-ahead prices at border points for germany , although it is not yet much used  if successful , belgium would follow .",prices,1
713,"all that we have done is unwind the raptor entities , ljm still exists , all other transactions with ljm still exist , it 's just that andy sold his interest in the partnerships .",interest,-1
714,i sat down with john lavorato and dana davis this morning to review the deal and get john 's approval under the current terms .,deal,1
715,"also we have no means to test employees from other companies since our random selection is accomplished through our payroll system , nor do we want to be in the business of testing other 's employees .",companies,0
716,"also we have no means to test employees from other companies since our random selection is accomplished through our payroll system , nor do we want to be in the business of testing other 's employees .",business,0
717,"from reading this process , this  looks like the procedure that you may want to pursue .",process,1
718,we discussed the process and it appears he will likely receive comments from stakeholders at large and also assemble a small committee of 4-5 stakeholders which would include enron to work with the power pool to consider possible changes to the pool rules .,process,0
719,we discussed the process and it appears he will likely receive comments from stakeholders at large and also assemble a small committee of 4-5 stakeholders which would include enron to work with the power pool to consider possible changes to the pool rules .,changes,1
720,we discussed the process and it appears he will likely receive comments from stakeholders at large and also assemble a small committee of 4-5 stakeholders which would include enron to work with the power pool to consider possible changes to the pool rules .,enron,0
721,"only a couple of years after compaq 's deal , enron paid $ 100 million over 30 years to name the downtown ballpark .",deal,0
722,"only a couple of years after compaq 's deal , enron paid $ 100 million over 30 years to name the downtown ballpark .",enron,0
723,high michelle i want to have some discussions with wyndham mills about a project that i want to ensure is treated as stictly confidential - do you have some non disclosure agreements that i could use - this is what they sent me but i want something stronger ?,project,1
724," i can't see how you would negotiate such a complex deal , like the purchase of the transmission grid , in such a short period of time .",deal,-1
725,i 'm not in agreement with any memo that further details the organization beyond what was outlined in the original memo .,agreement,-1
726,many  including enron  support the bill - though we are supporting it behind the scenes.,bill,0
727,many  including enron  support the bill - though we are supporting it behind the scenes.,enron,1
728," i must tell you this is a great relief , '' said guinn , a former utility executive , as he signed the bill into law .",bill,1
729,"together with tom white , vice chairman of ees , dan and  marty have led the development and execution of a highly successful business model at ees .",development,1
730,the process does warrant further discussion and i would like to be included .,process,1
731,"for example , some people oppose one northeast rto because they are concerned that new york - a disfunctional market- will contaminate pjm, a working market .",market,-1
732,each of the major proposals before the commission assumes that residential customers using less than 130 percent of their baseline  which is the average basic level of use for each region of the state  would be exempt from high,customers,1
733,"i would appreciate your review of section 4.14 in particular , given your familiarity with the compensation plans and benefit plans .",review,1
734,"the partners will build a natural-gas-fired power station whose 500-megawatt capacity will represent 30 percent of the country 's current electricity demand , said fenosa in a note , confirmed with the company .",company,0
735,"the partners will build a natural-gas-fired power station whose 500-megawatt capacity will represent 30 percent of the country 's current electricity demand , said fenosa in a note , confirmed with the company .",capacity,1
736,"and while efficiency-besotted ceos are counting on the internet to shrink procurement costs , savvy customers will be just as creative in using the net to beat down prices .",prices,0
737,"and while efficiency-besotted ceos are counting on the internet to shrink procurement costs , savvy customers will be just as creative in using the net to beat down prices .",customers,1
738,"over the weekend , president bush asked all americans to resume their activities , but to do so with the heightened awareness that the country is now at war with terrorists and with any country that supports their activities .",president,0
739,"this event kicks-off cabc 's competitive intelligence standards program , which seeks to raise awareness of issues relevant both to enron 's practitioners and senior consumers of competitive intelligence .",issues,1
740,"this event kicks-off cabc 's competitive intelligence standards program , which seeks to raise awareness of issues relevant both to enron 's practitioners and senior consumers of competitive intelligence .",enron,0
741,"by removing the ability of business units  to promote a worker until conclusion of the 18-24 month period , hard working , good-fit associates miss the opportunity to capitalize on what would seem to be a natural fit for a full-time position , and the chance to alleviate a significant source of discontent-compensation - which could be addressed  through the immediate promotion to the manager level .",position,1
742,"by removing the ability of business units  to promote a worker until conclusion of the 18-24 month period , hard working , good-fit associates miss the opportunity to capitalize on what would seem to be a natural fit for a full-time position , and the chance to alleviate a significant source of discontent-compensation - which could be addressed  through the immediate promotion to the manager level .",opportunity,-1
743,new mexico power plant project supplies have not been lined up as of yet .,project,0
744,new mexico power plant project supplies have not been lined up as of yet .,power,0
745,it is my hope that we can reschedule with him prior to  or in conjunction with  the final report .,report,0
746,we want you to be part of this exciting process and to broaden the relationship we have with you and your teams .,process,1
747,a quote from you about this issue would be great .,issue,0
748,"bowen , who heads up the first committee that this bill will go through will have hearings on this bill on tuesday at the earliest .",bill,1
749,the public policy benefit is pretty clear .,policy benefit,1
750,"spears , the other republican appointee is not at all free market , in my view .",market,-1
751,he asked that i take a look at his e-mail in the morning and route it to the appropriate person within enron .,enron,1
752,"the effort is intended to help restore the financial health of the state 's two largest utilities , pge and edison , both of which are near bankruptcy .",utilities,1
753, skilling notes that skeptics thought enron was crazy when it dared to make  electronic ?? ?,enron,-1
754,"in addition , i 'd like to have a  bounce back '' message on e-mail for both of us giving our new e-mail addresses  we would not necessarily need access to enron 's e-mail .",access,1
755,"in addition , i 'd like to have a  bounce back '' message on e-mail for both of us giving our new e-mail addresses  we would not necessarily need access to enron 's e-mail .",enron,1
756,attached is a 12-month direct compensation profile document which we have asked chris tull to program - final programs need to be completed by 8/30/00 .,program,0
757,"we will need summaries of all employment agreements in the entire company , broken down by business unit , group , name of employee , term/duration of agreement , and future obligations under the agreement .",company,0
758,"we will need summaries of all employment agreements in the entire company , broken down by business unit , group , name of employee , term/duration of agreement , and future obligations under the agreement .",agreement,0
759,"however , we were wondering if there can be some wording or agreement formalized that says they would not shut this point in before contacting our field personnel and/or gas control .",agreement,1
760,"action item  1 - and i agree this must be our primary focus - is to communicate to the alberta government : i - enron 's views on what mistakes are being made by governments in other jurisdictions in response to high price levels , and ii - enron 's plans for alberta if the alberta government  stays the course '' and does not interfere in the market .",market,0
761,"action item  1 - and i agree this must be our primary focus - is to communicate to the alberta government : i - enron 's views on what mistakes are being made by governments in other jurisdictions in response to high price levels , and ii - enron 's plans for alberta if the alberta government  stays the course '' and does not interfere in the market .",enron,0
762,he would like to keep david on until may 15 to finish up some things he is working on for ken .,ken,0
763,"if business units find this is not acceptable , they should seek approval for their attendance from jeff skilling .",business,0
764,"gasunie has so far shown little sign of negotiating more competitive tariffs with storage operators and passing on the benefits to customers , critics say .",customers,0
765, it 's difficult to see how we get out of this situation without considerable cost .,cost,-1
766,"heat rate value decreases , and  plants directed to provide , say , 135mws of oomc/oome , are not allowed to generate above 135 mws in an interval  thus running the plant economically at a lower heat rate  to sell the excess in the marketplace .",value,-1
767,"if enron has made the decision to sell dealbench.com and mr. munk , now no longer an enron employee , is able to put together a group to purchase this internet platform , i don't believe that this would constitute a violation of the conflict of interests policy as described in enron 's code of ethics .",interests policy,0
768,"if enron has made the decision to sell dealbench.com and mr. munk , now no longer an enron employee , is able to put together a group to purchase this internet platform , i don't believe that this would constitute a violation of the conflict of interests policy as described in enron 's code of ethics .",enron,0
769,please ensure that this email is distributed to anyone in your group who needs to discuss enrononline with individuals outside the company .,company,0
770,the commission has put special emphasis on putting the report and order under wraps until wednesday .,report,-1
771,the commission has put special emphasis on putting the report and order under wraps until wednesday .,order,-1
772,could you forward this to palmer ... for some reason my address book doesn't pull him up when i 'm off the system .,system,0
773,it is in the interest of the governments to work in a common protocol to progress rapidly .,interest,0
774,"by nancy vogel , times staff writer, sacramento  confusion over new federal price restrictions prompted several electricity sellers to back away from sales to california on monday afternoon , pushing the state closer to blackouts , energy",energy,0
775,"by nancy vogel , times staff writer, sacramento  confusion over new federal price restrictions prompted several electricity sellers to back away from sales to california on monday afternoon , pushing the state closer to blackouts , energy",california,-1
776,"by nancy vogel , times staff writer, sacramento  confusion over new federal price restrictions prompted several electricity sellers to back away from sales to california on monday afternoon , pushing the state closer to blackouts , energy",staff,0
777,edison shareholders would be responsible for debts owed to suppliers no direct access .,access,-1
778,"i 've notified all relevant government authorities of the situation , and so far am getting support .",support,1
779," that 's the risk that you run  with price controls , '' said arthur o'donnell , editor of the newsletter california energy markets .",energy,0
780," that 's the risk that you run  with price controls , '' said arthur o'donnell , editor of the newsletter california energy markets .",california,0
781,fuel cell dg deployment puts the highest quality power in the system increasing grid reliability and stability  and ?,system,1
782,over 100 local media markets and 20 networks will be monitored by our service at no cost to you .,cost,1
783,over 100 local media markets and 20 networks will be monitored by our service at no cost to you .,markets,0
784,over 100 local media markets and 20 networks will be monitored by our service at no cost to you .,service,1
785,"please let me know if you have any interest in another senior-level representative of enron speaking to your group , and i 'll be happy to do what i can to facilitate that for you .",interest,1
786,"please let me know if you have any interest in another senior-level representative of enron speaking to your group , and i 'll be happy to do what i can to facilitate that for you .",enron,1
787,"at first team officials , amid threats of leaving , managed to cut a deal with the miami-dade county commission to build a $ 165 million arena on biscayne bay with only $ 50 million coming from the team .",team,-1
788,we recommend that the state of california provide rebates  directly to customers to fund the installation of advanced metering and control systems that would support load curtailment implementation .,customers,1
789,we recommend that the state of california provide rebates  directly to customers to fund the installation of advanced metering and control systems that would support load curtailment implementation .,california,-1
790,"separation agreement payments, can you help with this one ?",agreement,1
791,"also, in the past , we have used as a good example of  convergence '' the arbitrage we have done at sithe's facility in ny , pointing out that we are in an  energy '' or  btu  market , not gas alone , or electricity alone .",electricity,0
792,"also, in the past , we have used as a good example of  convergence '' the arbitrage we have done at sithe's facility in ny , pointing out that we are in an  energy '' or  btu  market , not gas alone , or electricity alone .",energy,0
793,"also, in the past , we have used as a good example of  convergence '' the arbitrage we have done at sithe's facility in ny , pointing out that we are in an  energy '' or  btu  market , not gas alone , or electricity alone .",market,0
794,janet has led an extremely successful origination team in enron americas .,enron,1
795,"there is little point showing this to ken ... but you personally know him better , so i leave it to you .",ken,1
796,"granted , going from tenant to landlord would boost his costs .",costs,1
797,this amount will continue to accrue interest at 8.75 % per annum until paid by oasis .,interest,-1
798,"the electric power supply association tells the federal energy regulatory commission that the california independent system operator , which runs the state 's power grid , is not independent enough .",energy,0
799,"the electric power supply association tells the federal energy regulatory commission that the california independent system operator , which runs the state 's power grid , is not independent enough .",system,-1
800,"the electric power supply association tells the federal energy regulatory commission that the california independent system operator , which runs the state 's power grid , is not independent enough .",power,0
801,"also , if you are aware of any other groups that might need to be contacted that have a vested interest , we will gladly give them a call .",interest,1
802,we have already made considerable progress in breaking into the japanese markets across a wide range of enron businesses and we anticipate that this will provide significant profit growth for years to come .,markets,1
803,"however , we are willing to try,  ena has had this on the market for over a year with the intent to sell it at book if possible .",market,-1
804, this is one of the few management teams to successfully and rapidly transform a company to the net .,company,1
805,"when they anticipate the market is going up , or that it has hit a low point , they push harder for it as any one would .",market,1
806,this incentive will still exist under rtos if utilities are allowed to calculate their own atc .,utilities,1
807,the enron signatory will be kevin presto v.p. enron power marketing .,power,0
808,"if i remember correctly when i called and discussed this issue with you a couple of weeks ago , we were in agreement not do reduce the pressure supply to griffith but , you were going to communicate this with them .",issue,-1
809,another idea : dick foster- advisor to enron 's board and senior director at mckinsey-  has a great book out :  creative destruction '' .,enron,1
810,i think it 's a good rotation in that the knowledge i gain in this group will help me immensely in a more commercial role in the future .,future,1
811,the report takes a fresh look at the most difficult challenge the world faces : how to build an environmentally sustainable economy before we do permanent damage to the natural systems that support our global civilization .,report,1
812,he is not optimistic that any of these issues will be resolved to the chamber 's satisfaction .,issues,-1
813,gallup peak power avoidance data points we have added some point to the scada database that are provided to us by gary choquette 's peak power predictor .,power,1
814,"the process , she added , could take about a month - too long in the view of some legislators , given increasingly gloomy energy forecasts for late spring and early summer .",process,-1
815,is there some other component of this deal that is so compelling to the prospect that we can attach these pieces to that ?,deal,1
816,"prices have improved , but i believe even your team would admit this is still a project to get book in the market today .",project,-1
817,"prices have improved , but i believe even your team would admit this is still a project to get book in the market today .",prices,1
818,"prices have improved , but i believe even your team would admit this is still a project to get book in the market today .",market,0
819,"prices have improved , but i believe even your team would admit this is still a project to get book in the market today .",team,-1
820,we plan on executing the ppa later this week -monday 10/16 latest - with inclusion of project permitting conditions and board-out language drafted by and satisfactory to ena legal .,project,0
821,"ken , i hope all is going well at enron .",enron,1
822,"in the case of pacific gas and electric co. , this would mean customers ' average monthly power bills would rise from $ 60 to $ 120 .",customers,0
823,"in the case of pacific gas and electric co. , this would mean customers ' average monthly power bills would rise from $ 60 to $ 120 .",power,-1
824,"if you have any changes to the sheet , please let me know .",changes,0
825,"as the electricity market began to develop in the early 1990s , lay and skilling , a weekend dirt biker with a degree from harvard business school , began applying some of the lessons learned in the natural gas markets .",electricity,1
826,"as the electricity market began to develop in the early 1990s , lay and skilling , a weekend dirt biker with a degree from harvard business school , began applying some of the lessons learned in the natural gas markets .",business,1
827,"positive material identification -we would like to assist you by bidding on your project !!! please contact  us today for quick , responsive service that will help you get your testing and inspection work done quickly , on time , and cost effectively! best regards ,  ray cottrell, western regional vp , cottrellr@2isi.com, 1-800-945-5233.",project,1
828,"positive material identification -we would like to assist you by bidding on your project !!! please contact  us today for quick , responsive service that will help you get your testing and inspection work done quickly , on time , and cost effectively! best regards ,  ray cottrell, western regional vp , cottrellr@2isi.com, 1-800-945-5233.",cost,1
829,"positive material identification -we would like to assist you by bidding on your project !!! please contact  us today for quick , responsive service that will help you get your testing and inspection work done quickly , on time , and cost effectively! best regards ,  ray cottrell, western regional vp , cottrellr@2isi.com, 1-800-945-5233.",service,1
830,enron does not create any contractual rights by transmission of this email .,enron,-1
831,keep up the good work .,work,1
832,california authorities issued a blackout alert at 1:45 p.m. yesterday when power reserves dipped to dangerously low levels .,california,-1
833,california authorities issued a blackout alert at 1:45 p.m. yesterday when power reserves dipped to dangerously low levels .,power,-1
834,password for access to tw deal profitability/analysis here is the password,access,0
835,"the results of the business review meetings will be the final rankings for exempt employees below vp , subject to ena office of the chairman .",review,0
836,"the results of the business review meetings will be the final rankings for exempt employees below vp , subject to ena office of the chairman .",chairman,0
837,i can have a firm agenda to you in the very near future but i am waiting on some feedback from people like yourself regarding the issues they would like to discuss .,future,1
838,i can have a firm agenda to you in the very near future but i am waiting on some feedback from people like yourself regarding the issues they would like to discuss .,issues,-1
839,"most importantly , the lead commercial folks in the group are overburdened with administrative issues and spending too little time bringing in earnings .",issues,-1
840,enron officials are counting on support from house majority whip tom delay -tex . -.,support,1
841,are any of your clients also concerned about this and are you also looking into these issues ?,issues,-1
842,"please , let me know who in you group could help me in preparing this presentation and in presenting enron 's point of view in a more effective way .",enron,1
843,"i am looking for other opportunities , preferably within the company .",company,1
844,the same public policies simply do not apply to that portion of the market which is competitive .,policies,-1
845,the same public policies simply do not apply to that portion of the market which is competitive .,market,1
846,"also , part of my strategy is contacting a few friends who might be kind enough to  keep their eyes open '' and share thoughts and ideas as to companies i should contact .",companies,1
